Adjusted_Income,Personal_Income,Household_Size,Age,Bedrooms,Tenure,Building_Type,Region
1207712,65240.0,2,29,5.0,1.0,2.0,4900
1207712,75000.0,2,29,5.0,1.0,2.0,4900
1207712,94000.0,2,36,5.0,1.0,2.0,4900
1207712,90000.0,2,36,5.0,1.0,2.0,4900
1207712,60000.0,2,30,5.0,1.0,2.0,4900
1207712,80000.0,2,33,5.0,1.0,2.0,4900
1207712,60000.0,2,29,5.0,1.0,2.0,4900
1207712,60000.0,2,28,5.0,1.0,2.0,4900
1207712,62000.0,2,31,5.0,1.0,2.0,4900
1207712,60000.0,2,34,5.0,1.0,2.0,4900
1207712,62000.0,2,34,5.0,1.0,2.0,4900
1207712,65000.0,2,34,5.0,1.0,2.0,4900
1207712,60000.0,2,33,5.0,1.0,2.0,4900
1207712,60000.0,2,31,5.0,1.0,2.0,4900
1207712,71500.0,2,31,5.0,1.0,2.0,4900
1207712,85000.0,2,34,5.0,1.0,2.0,4900
1207712,63000.0,2,35,5.0,1.0,2.0,4900
1207712,70000.0,2,30,5.0,1.0,2.0,4900
1207712,72000.0,2,29,5.0,1.0,2.0,4900
1207712,71140.0,2,33,5.0,1.0,2.0,4900
1207712,75600.0,2,33,5.0,1.0,2.0,4900
1207712,74000.0,2,30,5.0,1.0,2.0,4900
1207712,75000.0,2,29,5.0,1.0,2.0,4900
1207712,65000.0,2,29,5.0,1.0,2.0,4900
1207712,85000.0,2,31,5.0,1.0,2.0,4900
1207712,68000.0,2,36,5.0,1.0,2.0,4900
1207712,64000.0,2,29,5.0,1.0,2.0,4900
1207712,65000.0,2,31,5.0,1.0,2.0,4900
1187140,62000.0,2,34,5.0,1.0,2.0,4900
1187140,62700.0,2,28,5.0,1.0,2.0,4900
1187140,76000.0,2,33,5.0,1.0,2.0,4900
1187140,61000.0,2,29,5.0,1.0,2.0,4900
1187140,85200.0,2,36,5.0,1.0,2.0,4900
1187140,60000.0,2,32,5.0,1.0,2.0,4900
1187140,70400.0,2,34,5.0,1.0,2.0,4900
1187140,73000.0,2,29,5.0,1.0,2.0,4900
1187140,70400.0,2,33,5.0,1.0,2.0,4900
1187140,83000.0,2,34,5.0,1.0,2.0,4900
1187140,75000.0,2,28,5.0,1.0,2.0,4900
1187140,100000.0,2,35,5.0,1.0,2.0,4900
1187140,96000.0,2,36,5.0,1.0,2.0,4900
1187140,67000.0,2,34,5.0,1.0,2.0,4900
1187140,83000.0,2,33,5.0,1.0,2.0,4900
1187140,60000.0,2,34,5.0,1.0,2.0,4900
1187140,61400.0,2,32,5.0,1.0,2.0,4900
1187140,70000.0,2,30,5.0,1.0,2.0,4900
1187140,60000.0,2,35,5.0,1.0,2.0,4900
1187140,70000.0,2,30,5.0,1.0,2.0,4900
1187140,60000.0,2,28,5.0,1.0,2.0,4900
1187140,90200.0,2,29,5.0,1.0,2.0,4900
1187140,65000.0,2,36,5.0,1.0,2.0,4900
1187140,85000.0,2,34,5.0,1.0,2.0,4900
1159185,60000.0,2,34,5.0,1.0,2.0,4900
1159185,100000.0,2,36,5.0,1.0,2.0,4900
1159185,95000.0,2,33,5.0,1.0,2.0,4900
1159185,65000.0,2,32,5.0,1.0,2.0,4900
1159185,65000.0,2,36,5.0,1.0,2.0,4900
