OBJECTID,ntd_id,shape_id,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type_text,route_url,route_color,route_color_formatted,route_text_color,route_text_color_formatted,download_date,Shape__Length
1,00001,10002005,100089,1,2,,West Queen Anne - Downtown Seattle - Madrona Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/002.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.124250323331881
2,00001,10002006,100089,1,2,,West Queen Anne - Downtown Seattle - Madrona Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/002.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0586959627494804
3,00001,10002017,100089,1,2,,West Queen Anne - Downtown Seattle - Madrona Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/002.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0711239761750807
4,00001,10002019,100089,1,2,,West Queen Anne - Downtown Seattle - Madrona Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/002.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0678049940509211
5,00001,10003020,100173,1,3,,Summit - Downtown Seattle - Madrona,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/003.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0641898797948366
6,00001,10003023,100173,1,3,,Summit - Downtown Seattle - Madrona,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/003.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0860136350428137
7,00001,10003026,100173,1,3,,Summit - Downtown Seattle - Madrona,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/003.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0418777337434779
8,00001,10004004,100219,1,4,,East Queen Anne - Downtown Seattle - Judkins Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/004.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0793189734308756
9,00001,10004012,100219,1,4,,East Queen Anne - Downtown Seattle - Judkins Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/004.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.138593717021117
10,00001,10004014,100219,1,4,,East Queen Anne - Downtown Seattle - Judkins Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/004.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0491428862379934
11,00001,10004015,100219,1,4,,East Queen Anne - Downtown Seattle - Judkins Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/004.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.0793287220857419
12,00001,10004017,100219,1,4,,East Queen Anne - Downtown Seattle - Judkins Park,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/004.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.108417629828234
13,00001,10007006,100263,1,7,,Prentice St - Rainier Beach - Downtown Seattle,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/007.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.143806306104748
14,00001,10007012,100263,1,7,,Prentice St - Rainier Beach - Downtown Seattle,3,Bus,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/007.html,000000,"(0, 0, 0)",ffffff,"(255, 255, 255)",12/02/2024,0.124541044837826
